Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency,Province
Spain,NET_ES208A,CCAA Castilla y León,ES1346A,MIRANDA DE EBRO 2,SP_09219002_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,1.716,ug/m3,98.54,3.0,Industrial,Urban,-2.9406,42.6881,471.0,,,,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,Burgos
Spain,NET_ES210A,CCAA Com. Valenciana,ES1428A,CASTELLÓ-ERMITA,SP_12040009_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,4.574,ug/m3,95.99,3.0,Industrial,Suburban,-0.0361,39.9592,44.0,Castellón de la Plana/Castelló de la Plana                                      ,ES520C1                                           ,174264.0,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,Castelló / Castellón
Spain,NET_ES209A,CCAA Cataluña,ES0584A,MONTCADA I REIXAC (PL. DE LLUÍS COMPANYS),SP_08125002_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,1.855,ug/m3,93.57,3.0,Traffic,Suburban,2.1883,41.482,34.0,Barcelona                                                                       ,ES002K2                                           ,3755512.0,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,Barcelona
Spain,NET_ES201A,CCAA Andalucía,ES1637A,E4:RINCONCILLO,SP_11004006_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,5.522,ug/m3,97.2,3.0,Industrial,Urban,-5.4426,36.1617,1.0,Algeciras                                                                       ,ES532C1                                           ,123078.0,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,Cádiz
Spain,NET_ES201A,CCAA Andalucía,ES1656A,RONDA DEL VALLE,SP_23050003_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,4.541,ug/m3,99.19,3.0,Background,Urban,-3.7816,37.7826,480.0,Jaén                                                                            ,ES527C1                                           ,112757.0,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,Jaén
Spain,NET_ES201A,CCAA Andalucía,ES1634A,E7:EL ZABAL,SP_11022007_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,6.441,ug/m3,99.26,3.0,Background,Urban,-5.3419,36.1732,8.0,"Línea de la Concepción, La                                                      ",ES065C1                                           ,63630.0,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,Cádiz
Spain,NET_ES201A,CCAA Andalucía,ES1644A,CENTRO,SP_41091019_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,4.075,ug/m3,92.11,3.0,Background,Urban,-5.9915,37.3881,19.0,Sevilla                                                                         ,ES004K1                                           ,884899.0,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,Sevilla
Spain,NET_ES210A,CCAA Com. Valenciana,ES1685A,ALCORA,SP_12005005_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,4.996,ug/m3,88.13,3.0,Industrial,Urban,-0.1897,40.0519,160.0,,,,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,Castelló / Castellón
Spain,NET_ES212A,CCAA Galicia,ES1867A,FERROL,SP_15036003_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,1.24,ug/m3,98.33,3.0,Traffic,Urban,-8.2431,43.4815,5.0,Ferrol                                                                          ,ES043C1                                           ,65560.0,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,A Coruña
Spain,NET_ES201A,CCAA Andalucía,ES1328A,MARISMAS DEL TITÁN,SP_21041015_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,5.242,ug/m3,94.81,3.0,Industrial,Urban,-6.9422,37.2526,17.0,Huelva                                                                          ,ES521C1                                           ,143837.0,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,Huelva
